game_key,bot_a,bot_b,game_index,swapped,winner,winner_raw,num_moves,time
Heuristic__VS__MCTS-new-100__GAME__36,Heuristic,MCTS-new-100,36,False,Heuristic,1,4,3.629579544067383
Heuristic__VS__MCTS-new-100__GAME__37,Heuristic,MCTS-new-100,37,True,Heuristic,-1,8,7.315117835998535
Heuristic__VS__MCTS-new-100__GAME__38,Heuristic,MCTS-new-100,38,False,Heuristic,1,7,6.233704328536987
Heuristic__VS__MCTS-new-100__GAME__39,Heuristic,MCTS-new-100,39,True,Heuristic,-1,8,8.410574913024902
Heuristic__VS__MCTS-new-100__GAME__40,Heuristic,MCTS-new-100,40,False,MCTS-new-100,-1,8,5.977663516998291
Heuristic__VS__MCTS-new-100__GAME__41,Heuristic,MCTS-new-100,41,True,Heuristic,-1,24,31.971283674240112
Heuristic__VS__MCTS-new-100__GAME__42,Heuristic,MCTS-new-100,42,False,Heuristic,1,6,5.256319284439087
Heuristic__VS__MCTS-new-100__GAME__43,Heuristic,MCTS-new-100,43,True,MCTS-new-100,1,9,8.924158096313477
Heuristic__VS__MCTS-new-100__GAME__44,Heuristic,MCTS-new-100,44,False,Heuristic,1,17,25.112785816192627
Heuristic__VS__MCTS-new-100__GAME__45,Heuristic,MCTS-new-100,45,True,Heuristic,-1,6,5.42395806312561
Heuristic__VS__MCTS-new-100__GAME__46,Heuristic,MCTS-new-100,46,False,Heuristic,1,11,13.847062349319458
Heuristic__VS__MCTS-new-100__GAME__47,Heuristic,MCTS-new-100,47,True,Heuristic,-1,11,13.854215383529663
Heuristic__VS__MCTS-new-100__GAME__48,Heuristic,MCTS-new-100,48,False,Heuristic,1,5,3.479860544204712
Heuristic__VS__MCTS-new-100__GAME__49,Heuristic,MCTS-new-100,49,True,Heuristic,-1,12,13.632407426834106
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__0,AlphaBeta-new-d3,MCTS-old-100,0,False,MCTS-old-100,-1,18,26.94974660873413
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__1,AlphaBeta-new-d3,MCTS-old-100,1,True,MCTS-old-100,1,7,8.10706114768982
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__2,AlphaBeta-new-d3,MCTS-old-100,2,False,AlphaBeta-new-d3,1,21,32.17561721801758
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__3,AlphaBeta-new-d3,MCTS-old-100,3,True,MCTS-old-100,1,13,16.045994758605957
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__4,AlphaBeta-new-d3,MCTS-old-100,4,False,MCTS-old-100,-1,6,7.140972375869751
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__5,AlphaBeta-new-d3,MCTS-old-100,5,True,MCTS-old-100,1,9,12.214099168777466
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__6,AlphaBeta-new-d3,MCTS-old-100,6,False,AlphaBeta-new-d3,1,9,11.896555423736572
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__7,AlphaBeta-new-d3,MCTS-old-100,7,True,MCTS-old-100,1,23,35.550137519836426
